Country,Year Enacted,Scope,Length (in Words),Executive Power,Legislative Power,Judicial Independence,Number of Rights,Preamble
Azerbaijan,1995,0.63,"17,354",6,0.29,3,72," The Azerbaijan people, continuing the traditions of many centuries of their Statehood, guided by the principles which are reflected in the Constitutional Act on the State Independence of the Republic of Azerbaijan, wishing to provide welfare for all and everyone, and to establish justice, freedom, security, and being aware of their responsibility before past, present, and future generations, exercise their sovereign right by solemnly declaring the following goals:to protect the independence, sovereignty and the territorial integrity of the Republic of Azerbaijan;to guarantee the democratic system within the framework of the Constitution; to achieve the realization of a civil society; to establish a law-governed, secular state which assures the supremacy of the law as an expression of the will of the people; to assure to all a decent level of life in accordance with a just economic and social order; to live under conditions of friendship, peace and safety with other peoples, maintaining a commitment to general human values and to implement a mutually beneficial cooperation for these purposes. For the sake of the above stated high intentions, this Constitution shall be adopted through a nationwide referendum."
Bahamas,1973,0.47,"41,835",3,0.14,2,39,"Whereas Four hundred and eighty-one years ago the rediscovery of this Family of Islands, Rocks and Cays heralded the rebirth of the New World; And Whereas the People of this Family of Islands recognizing that the preservation of their Freedom will be guaranteed by a national commitment to Self-discipline, Industry, Loyalty, Unity and an abiding respect for Christian values and the Rule of Law; Now Know Ye Therefore: We the Inheritors of and Successors to this Family of Islands, recognizing the Supremacy of God and believing in the Fundamental Rights and Freedoms of the Individual, Do Hereby Proclaim in Solemn Praise the Establishment of a Free and Democratic Sovereign Nation founded on Spiritual Values and in which no Man, Woman or Child shall ever be Slave or Bondsman to anyone or their Labour exploited or their Lives frustrated by deprivation, and do Hereby Provide by these Articles for the indivisible Unity and Creation under God of the Commonwealth of The Bahamas."
Bahrain,2002,0.57,"10,806",7,0.33,2,48,"In the name of God, the Merciful, the Compassionate Constitution of the Kingdom of Bahrain Foreword to the Constitution In the name of God on high, and with His Blessing, and with His help, we Hamad bin Isa Al Khalifa, Sovereign of the Kingdom of Bahrain, in line with our determination, certainty, faith, and awareness of our national, pan-Arab and international Responsibilities; and in acknowledgment of our obligations to God, our obligations to the homeland and the citizens, and our commitment to fundamental principles and our responsibility to Mankind. And in implementation of the popular will expressed in the principles enshrined in the National Action Charter; pursuant to the authority entrusted to us by our great people to amend the Constitution; out of our desire to complete the requirements of the democratic system of government for our beloved nation; striving for a better future in which the homeland and the citizen will enjoy greater welfare, progress, development, stability and prosperity through earnest and constructive cooperation between government and citizens which will remove the obstacles to progress; and out of a conviction that the future and working for the future is what all of us seek in the coming state; and in view of our belief that such an objective requires the exertion of efforts; and in order to complete the march, we have amended the existing Constitution. This amendment has taken account of all the lofty values and the great human principles enshrined in the National Action Charter. These values and principles confirm that the people of Bahrain surge ahead in their triumphant march towards a bright future, God willing, a future in which the efforts of all parties and individuals unite, and the authorities in their new garb devote themselves to achieve the hopes and aspirations under his tolerant rule, declaring their adherence to Islam as a faith, a code of laws and a way of life, with their affiliation to the great Arab nation, and their association with the Gulf Cooperation Council now and in the future, and their striving for everything that will achieve justice, good and peace for the whole of Mankind. The amendments to the Constitution proceed from the premise that the noble people of Bahrain believe that Islam brings salvation in this world and the next, and that Islam means neither inertness nor fanaticism but explicitly states that wisdom is the goal of the believer wherever he finds it he should take it, and that the Qur’an has been remiss in nothing. In order to achieve this goal, it is essential that we listen and look to the whole of the human heritage in both East and West, adopting that which we consider to be beneficial and suitable and consistent with our religion, values and traditions and is appropriate to our circumstances, in the conviction that social and human systems are not inflexible tools and instruments which can be moved unchanged from place to place, but are messages conveyed to the mind, spirit and conscience of man and are influenced by his reactions and their circumstances of his society. Thus these constitutional amendments are representative of the advanced cultural thought of our beloved nation. They base our political system on a constitutional monarchy founded on counsel [shura], which in Islam is the highest model for governance, and on the people’s participation in the exercise of power, which is the foundation of modern political thought. The Ruler, with his perspicacity, chooses certain experienced people to constitute the Consultative Council (Majlis al-Shura), and the aware, free and loyal people choose through elections those who make up the Chamber of Deputies (Majlis al-Nuwwab), and thus the two chambers together achieve the popular will represented by the National Assembly (Al-Majlis al-Watani). These constitutional amendments undoubtedly reflect the joint will of the King and the people, and achieve for everyone the lofty ideals and the great humanitarian principles contained in the National Action Charter, and ensure that the people will advance to the high position for which their ability and preparedness qualify them, and which accords with the greatness of their history, and allows them to occupy their appropriate place among the civilized nations of the world. This Constitution that we have promulgated contains the amendments that have carried out in accordance with the provisions of the National Action Charter and that complement all the unamended texts. We have attached an explanation memorandum which will be used to explain its judgement."
Bangladesh,1986,0.63,"27,643",4,0.33,5,49,"We, the people of Bangladesh, having proclaimed our independence on the 26th day of March, 1971 and through a historic struggle for national liberation, established the independent, sovereign People&#x27;s Republic of Bangladesh; Pledging that the high ideals of nationalism, socialism, democracy and secularism, which inspired our heroic people to dedicate themselves to, and our brave martyrs to sacrifice their lives in, the national liberation struggle, shall be the fundamental principles of the Constitution; Further pledging that it shall be a fundamental aim of the State to realise through the democratic process to socialist society, free from exploitation-a society in which the rule of law, fundamental human rights and freedom, equality and justice, political, economic and social, will be secured for all citizens; Affirming that it is our sacred duty to safeguard, protect and defend this Constitution and to maintain its supremacy as the embodiment of the will of the people of Bangladesh so that we may prosper in freedom and may make our full contribution towards international peace and cooperation in keeping with the progressive aspirations of mankind; In our Constituent Assembly, this eighteenth day of Kartick, 1379 B.S corresponding to the fourth day of November, 1972 A.D., do hereby adopt, enact and give to ourselves this Constitution."
Barbados,1966,0.4,"34,144",3,0.19,3,40," Whereas the love of free institutions and of independence has always strongly characterised the inhabitants of Barbados: And Whereas the Governor and the said inhabitants settled a Parliament in the year 1639: And Whereas as early as 18th February, 1651 those inhabitants, in their determination to safeguard the freedom, safety and well-being of the Island, declared, through their Governor, Lords of the Council and members of the Assembly, their independence of the Commonwealth of England: And Whereas the rights and privileges of the said inhabitants were confirmed by articles of agreement, commonly known as the Charter of Barbados, had, made and concluded on 11th January, 1652 by and between the Commissioners of the Right Honourable the Lord Willoughby of Parham, Governor, of the one part, and the Commissioners on behalf of the Commonwealth of England, of the other part, in order to the rendition to the Commonwealth of England of the said Island of Barbados: And Whereas with the broadening down of freedom the people of Barbados have ever since then not only successfully resisted any attempt to impugn or diminish those rights and privileges so confirmed, but have consistently enlarged and extended them: Now, therefore, the people of Barbadosproclaim that they are a sovereign nation founded upon principles that acknowledge the supremacy of God, the dignity of the human person, their unshakeable faith in fundamental human rights and freedoms and the position of the family in a society of free men and free institutions; affirm their belief that men and institutions remain free only when freedom is founded upon respect for moral and spiritual values and the rule of law; declare their intention to establish and maintain a society in which all persons may, to the full extent of their capacity, play a due part in the institutions of the national life; resolve that the operation of the economic system shall promote the general welfare by the equitable distribution of the material resources of the community, by the human conditions under which all men shall labour and by the undeviating recognition of ability, integrity and merit; desire that the following provisions shall have effect as the Constitution of Barbados—"
Belarus,1994,0.61,"13,278",7,0.33,2,62,"We, the People of the Republic of Belarus, (of Belarus), proceeding from the responsibility for the present and future of Belarus, recognising ourselves as a full-fledged subject of the international community and confirming our adherence to values common to all mankind, founding ourselves on our inalienable right to self-determination, supported by the centuries-long history of development of Belarusian statehood, striving to assert the rights and freedoms of every citizen of the Republic of Belarus, desiring to maintain civic concord, firm foundations of government by the people and a state based on the rule of law, adopt hereby this Constitution - the Fundamental Law of the Republic of Belarus."
Belgium,1831,0.59,"16,119",4,0.38,3,35,"In the name of the Belgian people, the National Congress decrees:"
Belize,1981,0.47,"39,629",3,0.24,4,46," WHEREAS the people of Belize-affirm that the Nation of Belize shall be founded upon principles which acknowledge the supremacy of God, faith in human rights and fundamental freedoms, the position of the family in a society of free men and free institutions, the dignity of the human person and the equal and inalienable rights with which all members of the human family are endowed by their Creator; respect the principles of social justice and therefore believe that the operation of the economic system must result in the material resources of the community being so distributed as to subserve the common good, that there should be adequate means of livelihood for all, that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit, ability and integrity, that equal protection should be given to children regardless of their social status, and that a just system should be ensured to provide for education and health on the basis of equality; believe that the will of the people shall form the basis of government in a democratic society in which the government is freely elected by universal adult suffrage and in which all persons may, to the extent of their capacity, play some part in the institutions of national life and thus develop and maintain due respect for lawfully constituted authority; recognise that men and institutions remain free only when freedom is founded upon respect for moral and spiritual values and upon the rule of law; require policies of state which protect and safeguard the unity, freedom, sovereignty and territorial integrity of Belize; which eliminate economic and social privilege and disparity among the citizens of Belize whether by race, ethnicity, colour, creed, disability or sex; which ensures gender equality; which protect the rights of the individual to life, liberty, basic education, basic health, the right to vote in elections, the right to work and the pursuit of happiness; which protect the identity, dignity and social and cultural values of Belizeans, including Belize&#x27;s indigenous peoples; which preserve the right of the individual to the ownership of private property and the right to operate private businesses; which prohibit the exploitation of man by man or by the state; which ensure a just system of social security and welfare; which protect the environment; which promote international peace, security and co-operation among nations, the establishment of a just and equitable international economic and social order in the world with respect for international law and treaty obligations in the dealings among nations;[FN: 2 of 2001.; 2 of 2001.; 39 of 2001.] desire that their society shall reflect and enjoy the above mentioned principles, beliefs and needs and that their Constitution should therefore enshrine and make provisions for ensuring the achievement of the same in Belize; NOW, THEREFORE, the following provisions shall have effect as the Constitution of Belize:"
Benin,1990,0.56,"11,386",4,0.29,1,43," Dahomey, proclaimed a Republic on December 4, 1958, acceded to international sovereignty August 1, 1960. Having become the People&#x27;s Republic of Bénin on November 30, 1975, and then the Republic of Bénin on March 1, 1990, it has known a turbulent constitutional and political evolution since its accession to independence. Only the option in favor of the Republic has remained permanent. The successive changes of political regimes and of governments have not blunted the determination of the Béninese people to search for, in their own spirit, the cultural, philosophical and spiritual values of civilization which sustain the forms of their patriotism. Thus, the National Conference of Active Forces of the Nation, held in Cotonou from February 19 to 28, 1990, in giving back confidence to the people, has permitted the national reconciliation and the advent of an era of democratic revival. On the day after this Conference, WE, THE BÉNINESE PEOPLEReaffirm our fundamental opposition to any political regime founded on arbitrariness, dictatorship, injustice, corruption, misappropriation of public funds, regionalism, nepotism, confiscation of power, and personal power;Express our firm will to defend and safeguard our dignity in the eyes of the world and to find again the place and role as pioneer of democracy and of the defense of human rights which were formerly ours; Solemnly affirm our determination by this present Constitution to create a State of law and pluralistic democracy in which the fundamental human rights, public liberties, the dignity of the human being, and justice shall be guaranteed, protected and promoted as the condition necessary for the genuine harmonious development of each Béninese in his temporal and cultural dimension as well as in his spiritual; Reaffirm our attachment to the principles of democracy and human rights as they have been defined by the Charter of the United Nations of 1945 and the Universal Declaration of Human Rights of 1948, by the African Charter on Human and Peoples&#x27; Rights adopted in 1981 by the Organization of African Unity and ratified by Bénin on January 20, 1986 and whose provisions make up an integral part of this present Constitution and of Béninese law and have a value superior to the internal law; Affirm our will to cooperate in peace and friendship with all peoples who share our ideals of liberty, of justice, of human solidarity based on the principles of equality, of reciprocal interest and of mutual respect for national sovereignty and for territorial integrity; Proclaim our attachment to the cause of African unity and pledge ourselves to leave no stone unturned in order to realize local and regional integration; Solemnly adopt the present Constitution which shall be the Supreme Law of the State and to which we swear loyalty, fidelity and respect."
Bhutan,2008,0.64,"13,632",4,0.29,5,44,"WE, the people of Bhutan: BLESSED by the Triple Gem, the protection of our guardian deities, the wisdom of our leaders, the everlasting fortunes of the Pelden Drukpa and the guidance of His Majesty the Druk Gyalpo Jigme Khesar Namgyel Wangchuck; SOLEMNLY pledging ourselves to strengthen the sovereignty of Bhutan, to secure the blessings of liberty, to ensure justice and tranquility and to enhance the unity, happiness and well-being of the people for all time; DO HEREBY ordain and adopt this Constitution for the Kingdom of Bhutan on the Fifteenth Day of the Fifth Month of the Male Earth Rat Year corresponding to the Eighteenth Day of July, Two Thousand and Eight."
Bolivia,2009,0.74,"39,375",5,0.33,4,88,"In ancient times mountains arose, rivers moved, and lakes were formed. Our Amazonia, our swamps, our highlands, and our plains and valleys were covered with greenery and flowers. We populated this sacred Mother Earth with different faces, and since that time we have understood the plurality that exists in all things and in our diversity as human beings and cultures. Thus, our peoples were formed, and we never knew racism until we were subjected to it during the terrible times of colonialism. We, the Bolivian people, of plural composition, from the depths of history, inspired by the struggles of the past, by the anti-colonial indigenous uprising, and in independence, by the popular struggles of liberation, by the indigenous, social and labor marches, by the water and October wars, by the struggles for land and territory, construct a new State in memory of our martyrs. A State based on respect and equality for all, on principles of sovereignty, dignity, interdependence, solidarity, harmony, and equity in the distribution and redistribution of the social wealth, where the search for a good life predominates; based on respect for the economic, social, juridical, political and cultural pluralism of the inhabitants of this land; and on collective coexistence with access to water, work, education, health and housing for all. We have left the colonial, republican and neo-liberal State in the past. We take on the historic challenge of collectively constructing a Unified Social State of Pluri-National Communitarian law, which includes and articulates the goal of advancing toward a democratic, productive, peace-loving and peaceful Bolivia, committed to the full development and free determination of the peoples. We women and men, through the Constituent Assembly (Asamblea Constituyente) and with power originating from the people, demonstrate our commitment to the unity and integrity of the country. We found Bolivia anew, fulfilling the mandate of our people, with the strength of our Pachamama and with gratefulness to God. Honor and glory to the martyrs of the heroic constituent and liberating effort, who have made this new history possible."
Bosnia and Herzegovina,1995,0.41,"5,454",2,0.24,0,28,"Based on respect for human dignity, liberty, and equality, Dedicated to peace, justice, tolerance, and reconciliation, Convinced that democratic governmental institutions and fair procedures best produce peaceful relations within a pluralist society, Desiring to promote the general welfare and economic growth through the protection of private property and the promotion of a market economy, Guided by the Purposes and Principles of the Charter of the United Nations, Committed to the sovereignty, territorial integrity, and political independence of Bosnia and Herzegovina in accordance with international law, Determined to ensure full respect for international humanitarian law, Inspired by the Universal Declaration of Human Rights, the International Covenants on Civil and Political Rights and on Economic, Social and Cultural Rights, and the Declaration on the Rights of Persons Belonging to National or Ethnic, Religious and Linguistic Minorities, as well as other human rights instruments, Recalling the Basic Principles agreed in Geneva on September 8, 1995, and in New York on September 26, 1995, Bosniacs, Croats, and Serbs, as constituent peoples (along with Others), and citizens of Bosnia and Herzegovina hereby determine that the Constitution of Bosnia and Herzegovina is as follows:"
Botswana,1966,0.43,"30,713",3,0.1,4,36,
Brazil,1988,0.7,"64,488",5,0.48,5,79,"We the representatives of the Brazilian People, convened the National Constituent Assembly, to institute a democratic state destined to ensure the exercise of social and individual rights, liberty, security, well-being, development, equality and justice as supreme values of a fraternal, pluralist and unprejudiced society, founded on social harmony and committed, in the domestic and international orders, to the peaceful solution of disputes, promulgate, under the protection of God, the following CONSTITUTION OF THE FEDERATIVE REPUBLIC OF BRAZIL."
